Taxon name,RelAbReads,PredictedRelAb,Mock_community,Tool,Level,ComType
Candida theae,1.0,0.0317,large_2,HMS,Species,EqualReads
Candida tropicalis,1.0,0.0279,large_2,HMS,Species,EqualReads
Cladophialophora bantiana,1.0,0.0323,large_2,HMS,Species,EqualReads
Cladophialophora carrionii,1.0,0.0323,large_2,HMS,Species,EqualReads
Clavispora lusitaniae,1.0,0.0321,large_2,HMS,Species,EqualReads
Cokeromyces recurvatus,1.0,0.0315,large_2,HMS,Species,EqualReads
Cryptococcus deuterogattii,1.0,0.0434,large_2,HMS,Species,EqualReads
Cryptococcus gattii,1.0,0.0489,large_2,HMS,Species,EqualReads
Diutina rugosa,1.0,0.0322,large_2,HMS,Species,EqualReads
Fusarium falciforme,1.0,0.0262,large_2,HMS,Species,EqualReads
Fusarium proliferatum,1.0,0.0291,large_2,HMS,Species,EqualReads
Histoplasma capsulatum,1.0,0.032,large_2,HMS,Species,EqualReads
Kluyveromyces marxianus,1.0,0.0319,large_2,HMS,Species,EqualReads
Lodderomyces elongisporus,1.0,0.0319,large_2,HMS,Species,EqualReads
Malassezia japonica,1.0,0.0319,large_2,HMS,Species,EqualReads
Malassezia restricta,1.0,0.0323,large_2,HMS,Species,EqualReads
Malassezia sympodialis,1.0,0.0328,large_2,HMS,Species,EqualReads
Paracoccidioides brasiliensis,1.0,0.0313,large_2,HMS,Species,EqualReads
Pichia kudriavzevii,1.0,0.0322,large_2,HMS,Species,EqualReads
Talaromyces marneffei,1.0,0.0262,large_2,HMS,Species,EqualReads
Trichophyton rubrum,1.0,0.0296,large_2,HMS,Species,EqualReads
Trichosporon asahii,1.0,0.0288,large_2,HMS,Species,EqualReads
Aspergillus,8.0,0.1228,large_2,HMS,Genus,EqualReads
Blastomyces,1.0,0.0039,large_2,HMS,Genus,EqualReads
Candida,9.0,0.1896,large_2,HMS,Genus,EqualReads
Cladophialophora,2.0,0.0645,large_2,HMS,Genus,EqualReads
Clavispora,1.0,0.032,large_2,HMS,Genus,EqualReads
Cokeromyces,1.0,0.0315,large_2,HMS,Genus,EqualReads
Cryptococcus,4.0,0.0929,large_2,HMS,Genus,EqualReads
Cyberlindnera,1.0,0.0001,large_2,HMS,Genus,EqualReads
Daldinia,1.0,0.0038,large_2,HMS,Genus,EqualReads
Debaryomyces,1.0,0.0069,large_2,HMS,Genus,EqualReads
Diutina,1.0,0.0322,large_2,HMS,Genus,EqualReads
Fusarium,2.0,0.0558,large_2,HMS,Genus,EqualReads
Histoplasma,1.0,0.0323,large_2,HMS,Genus,EqualReads
