Profile,ComType,Genus,NumSpecies,InclSpecies,Tool,SpeciesDet,MissedSp,GenusDetected
median_3,EqualReads,Candida,5,"['Candida albicans', 'Candida dubliniensis', 'Candida tropicalis', 'Candida margitis', 'Candida orthopsilosis']",Euk,1,"['Candida albicans', 'Candida dubliniensis', 'Candida tropicalis', 'Candida margitis']",Yes
median_3,EqualReads,Candida,5,"['Candida albicans', 'Candida dubliniensis', 'Candida tropicalis', 'Candida margitis', 'Candida orthopsilosis']",Metaphlan,4,['Candida margitis'],Yes
median_3,EqualReads,Candida,5,"['Candida albicans', 'Candida dubliniensis', 'Candida tropicalis', 'Candida margitis', 'Candida orthopsilosis']",HMS,4,['Candida margitis'],Yes
median_3,EqualReads,Candida,5,"['Candida albicans', 'Candida dubliniensis', 'Candida tropicalis', 'Candida margitis', 'Candida orthopsilosis']",FunOMIC,4,['Candida margitis'],Yes
median_3,EqualReads,Candida,5,"['Candida albicans', 'Candida dubliniensis', 'Candida tropicalis', 'Candida margitis', 'Candida orthopsilosis']",MiCoP,4,['Candida margitis'],Yes
median_3,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia globosa', 'Malassezia sympodialis']",Kraken,1,"['Malassezia globosa', 'Malassezia sympodialis']",Yes
median_3,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia globosa', 'Malassezia sympodialis']",Euk,1,"['Malassezia globosa', 'Malassezia sympodialis']",Yes
median_3,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia globosa', 'Malassezia sympodialis']",Metaphlan,3,[],Yes
median_3,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia globosa', 'Malassezia sympodialis']",HMS,3,[],Yes
median_3,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia globosa', 'Malassezia sympodialis']",FunOMIC,3,[],Yes
median_3,EqualReads,Malassezia,3,"['Malassezia restricta', 'Malassezia globosa', 'Malassezia sympodialis']",MiCoP,2,['Malassezia restricta'],Yes
median_3,EqualReads,Saccharomyces,3,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",Kraken,3,[],Yes
median_3,EqualReads,Saccharomyces,3,"['Saccharomyces cerevisiae', 'Saccharomyces kudriavzevii', 'Saccharomyces eubayanus']",Euk,2,['Saccharomyces kudriavzevii'],Yes
