Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_tetrasperma	species	Neurospora tetrasperma	40127	3.0079	0.9627	922	306522
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales	order	Hypocreales	5125	1.0982	1.6181	740	673843
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae	family	Nectriaceae	110618	0.0521	0.0366	18	345507
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium	genus	Fusarium	5506	0.0521	0.0196	18	345507
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-Fusarium_solani	species	Fusarium solani	169388	0.0295	0.0095	10	338685
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Cordycipitaceae	family	Cordycipitaceae	474943	2.199	1.5437	722	328336
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Cordycipitaceae|genus-Beauveria	genus	Beauveria	5581	2.199	0.826	722	328336
phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Cordycipitaceae|genus-Beauveria|species-Beauveria_bassiana	species	Beauveria bassiana	176275	2.2745	0.728	498	218950
phylum-Ascomycota|class-Dothideomycetes	class	Dothideomycetes	147541	2.5305	4.3613	2811	1110853
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales	order	Pleosporales	92860	2.5305	3.7285	2811	1110853
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae	family	Pleosporaceae	28556	2.0172	1.4161	1517	752020
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	genus	Alternaria	5598	0.2683	0.1008	104	387659
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_arborescens	species	Alternaria arborescens	156630	0.1022	0.0327	31	303330
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Bipolaris	genus	Bipolaris	33194	3.878	1.4567	1413	364361
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Bipolaris|species-Bipolaris_sorokiniana	species	Bipolaris sorokiniana	45130	4.0861	1.3078	1409	344828
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae	family	Didymellaceae	683158	3.6061	2.5315	1294	358833
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Ascochyta	genus	Ascochyta	5453	3.6061	1.3546	1294	358833
phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Ascochyta|species-Ascochyta_rabiei	species	Ascochyta rabiei	5454	3.6061	1.1542	1294	358833
phylum-Ascomycota|class-Xylonomycetes	class	Xylonomycetes	1217819	5.979	10.3048	2045	342029
phylum-Ascomycota|class-Xylonomycetes|order-Xylonales	order	Xylonales	1217820	5.979	8.8097	2045	342029
phylum-Ascomycota|class-Xylonomycetes|order-Xylonales|family-Xylonaceae	family	Xylonaceae	1217822	5.979	4.1973	2045	342029
phylum-Ascomycota|class-Xylonomycetes|order-Xylonales|family-Xylonaceae|genus-Xylona	genus	Xylona	1217823	5.979	2.2459	2045	342029
phylum-Ascomycota|class-Xylonomycetes|order-Xylonales|family-Xylonaceae|genus-Xylona|species-Xylona_heveae	species	Xylona heveae	1217826	5.979	1.9136	2045	342029
