Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Encephalitozoon cuniculi GB-M1	species	phylum-Microsporidia|family-Unikaryonidae|genus-Encephalitozoon|species-Encephalitozoon_cuniculi	284813	23	1499	100.0%	90.19%	99.75%
Clavispora lusitaniae ATCC 42720	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Clavispora|species-Clavispora_lusitaniae	306902	173	6886	100.0%	87.64%	99.78%
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	no rank	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Metschnikowia|species-Metschnikowia_bicuspidata	869754	167	6571	100.0%	86.44%	99.87%
Lachancea lanzarotensis	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Lachancea|species-Lachancea_lanzarotensis	1245769	170	7683	100.0%	88.92%	99.8%
Kazachstania africana CBS 2517	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Kazachstania|species-Kazachstania_africana	1071382	175	7198	100.0%	89.16%	99.8%
Priceomyces carsonii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Priceomyces|species-Priceomyces_carsonii	28549	169	6930	100.0%	89.38%	99.64%
Cyberlindnera jadinii NRRL Y-1542	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Cyberlindnera|species-Cyberlindnera_jadinii	983966	172	7617	100.0%	88.87%	99.8%
Suhomyces tanzawaensis NRRL Y-17324	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Suhomyces|species-Suhomyces_tanzawaensis	984487	180	7766	100.0%	87.43%	99.77%
Naumovozyma castellii CBS 4309	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Naumovozyma|species-Naumovozyma_castellii	1064592	182	7235	100.0%	89.54%	99.81%
Torulaspora delbrueckii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Torulaspora|species-Torulaspora_delbrueckii	4950	175	7429	100.0%	87.51%	99.8%
Saccharomycodes ludwigii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycodaceae|genus-Saccharomycodes|species-Saccharomycodes_ludwigii	36035	152	6272	100.0%	88.5%	99.74%
Kuraishia capsulata CBS 1993	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|genus-Kuraishia|species-Kuraishia_capsulata	1382522	172	7444	100.0%	87.35%	99.79%
Eremothecium gossypii ATCC 10895	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Eremothecium|species-Eremothecium_gossypii	284811	165	7569	100.0%	89.24%	99.83%
Saprochaete ingens	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Saprochaete|species-Saprochaete_ingens	2606893	186	7865	99.47%	84.83%	99.74%
Wickerhamomyces ciferrii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Wickerhamomyces|species-Wickerhamomyces_ciferrii	1041607	168	5011	99.41%	79.89%	99.83%
Brettanomyces bruxellensis	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Brettanomyces|species-Brettanomyces_bruxellensis	5007	169	6677	99.41%	85.78%	98.98%
Lodderomyces elongisporus NRRL YB-4239	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Lodderomyces|species-Lodderomyces_elongisporus	379508	165	6608	99.4%	86.04%	99.58%
Ascoidea rubescens DSM 1968	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Ascoideaceae|genus-Ascoidea|species-Ascoidea_rubescens	1344418	161	6253	99.38%	84.1%	99.79%
[Candida] glabrata	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Nakaseomyces|species-[Candida]_glabrata	5478	159	6437	99.38%	89.94%	99.81%
Ogataea philodendri	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_philodendri	1378263	151	7165	99.34%	89.66%	99.76%
Malassezia restricta	species	phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	76775	149	7549	99.33%	87.3%	99.76%
Sordaria macrospora k-hell	species	phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Sordaria|species-Sordaria_macrospora	771870	196	6573	98.99%	80.1%	99.91%
Acaromyces ingoldii	species	phylum-Basidiomycota|class-Exobasidiomycetes|order-Exobasidiales|family-Cryptobasidiaceae|genus-Acaromyces|species-Acaromyces_ingoldii	215250	176	6787	98.88%	79.66%	99.69%
Babjeviella inositovora NRRL Y-12698	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Babjeviella|species-Babjeviella_inositovora	984486	173	7390	98.86%	87.72%	99.8%
Pichia membranifaciens NRRL Y-2026	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Pichia|species-Pichia_membranifaciens	763406	164	7375	98.8%	88.23%	99.77%
Komagataella phaffii GS115	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Komagataella|species-Komagataella_phaffii	644223	157	6335	98.74%	85.14%	99.87%
Bipolaris sorokiniana ND90Pr	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Bipolaris|species-Bipolaris_sorokiniana	665912	203	6470	98.54%	79.96%	99.96%
Cyphellophora europaea CBS 101466	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Cyphellophoraceae|genus-Cyphellophora|species-Cyphellophora_europaea	1220924	196	8212	98.49%	86.77%	99.75%
Fonsecaea nubica	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Herpotrichiellaceae|genus-Fonsecaea|species-Fonsecaea_nubica	856822	195	6146	98.48%	76.52%	99.91%
Verruconis gallopava	species	phylum-Ascomycota|class-Dothideomycetes|order-Venturiales|family-Sympoventuriaceae|genus-Verruconis|species-Verruconis_gallopava	253628	195	7197	98.48%	83.97%	99.72%
Meyerozyma	genus	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Meyerozyma	766728	129	4062	98.47%	83.65%	99.78%
Yarrowia lipolytica CLIB122	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Yarrowia|species-Yarrowia_lipolytica	284591	184	7227	98.4%	85.65%	99.86%
Cladophialophora bantiana CBS 173.52	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Herpotrichiellaceae|genus-Cladophialophora|species-Cladophialophora_bantiana	1442370	199	7303	98.03%	82.59%	99.95%
Microsporum canis CBS 113480	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Microsporum|species-Microsporum_canis	554155	197	6901	98.01%	82.32%	99.67%
Blastomyces	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Blastomyces	229219	145	6773	97.97%	83.65%	99.92%
Trichosporon asahii var. asahii CBS 2479	no rank	phylum-Basidiomycota|class-Tremellomycetes|order-Trichosporonales|family-Trichosporonaceae|genus-Trichosporon|species-Trichosporon_asahii	1186058	134	4722	97.81%	75.25%	99.76%
Coccidioides	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Coccidioides	5500	83	2856	97.65%	85.02%	99.62%
Botrytis porri	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botrytis|species-Botrytis_porri	87229	197	5105	97.52%	73.42%	99.96%
Cladophialophora carrionii CBS 160.54	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Herpotrichiellaceae|genus-Cladophialophora|species-Cladophialophora_carrionii	1279043	197	7424	97.52%	82.76%	99.86%
Nannizzia gypsea CBS 118893	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Nannizzia|species-Nannizzia_gypsea	535722	191	6551	97.45%	79.79%	99.73%
Endocarpon pusillum Z07020	species	phylum-Ascomycota|class-Eurotiomycetes|order-Verrucariales|family-Verrucariaceae|genus-Endocarpon|species-Endocarpon_pusillum	1263415	190	7422	97.44%	83.92%	99.72%
Chaetomium globosum CBS 148.51	species	phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Chaetomiaceae|genus-Chaetomium|species-Chaetomium_globosum	306901	173	6055	97.19%	80.23%	99.76%
Byssochlamys spectabilis	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Thermoascaceae|genus-Byssochlamys|species-Byssochlamys_spectabilis	264951	203	6773	97.13%	81.68%	99.78%
Scedosporium apiospermum	species	phylum-Ascomycota|class-Sordariomycetes|order-Microascales|family-Microascaceae|genus-Scedosporium|species-Scedosporium_apiospermum	563466	200	5974	97.09%	77.58%	99.96%
Ascochyta rabiei	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Ascochyta|species-Ascochyta_rabiei	5454	195	6583	97.01%	81.64%	99.88%
Phialemoniopsis curvata	species	phylum-Ascomycota|class-Sordariomycetes|order-Xylariales|genus-Phialemoniopsis|species-Phialemoniopsis_curvata	1093900	195	7467	97.01%	83.41%	99.68%
Pseudozyma hubeiensis SY62	species	phylum-Basidiomycota|class-Ustilaginomycetes|order-Ustilaginales|family-Ustilaginaceae|genus-Pseudozyma|species-Pseudozyma_hubeiensis	1305764	191	7304	96.95%	85.22%	99.97%
Wallemia ichthyophaga EXF-994	species	phylum-Basidiomycota|class-Wallemiomycetes|order-Wallemiales|family-Wallemiaceae|genus-Wallemia|species-Wallemia_ichthyophaga	1299270	147	5846	96.71%	76.36%	99.61%
Aspergillus glaucus CBS 516.65	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_glaucus	1160497	200	5989	96.62%	77.04%	99.96%
Xylona heveae TC161	species	phylum-Ascomycota|class-Xylonomycetes|order-Xylonales|family-Xylonaceae|genus-Xylona|species-Xylona_heveae	1328760	197	6329	96.57%	79.98%	99.63%
Paracoccidioides brasiliensis Pb18	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Paracoccidioides|species-Paracoccidioides_brasiliensis	502780	194	5326	96.52%	72.52%	99.97%
