Lineage	Rank	Name	TaxID	RPKS	Euk_fraction	Reads	Amt_marker_sequence
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Hyphopichia|species-Hyphopichia_burtonii	species	Hyphopichia burtonii	717740	22.0602	1.8391	7544	341973
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Babjeviella|species-Babjeviella_inositovora	species	Babjeviella inositovora	45609	21.9382	1.829	7224	329288
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Suhomyces|species-Suhomyces_tanzawaensis	species	Suhomyces tanzawaensis	46583	21.7785	1.8157	7735	355167
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Debaryomyces|species-Debaryomyces_hansenii	species	Debaryomyces hansenii	4959	21.8773	1.8239	7142	326457
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_parapolymorpha	species	Ogataea parapolymorpha	1005962	20.9454	1.7462	6585	314389
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_polymorpha	species	Ogataea polymorpha	460523	20.9658	1.7479	6797	324195
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Pichia|species-Pichia_kudriavzevii	species	Pichia kudriavzevii	4909	21.4349	1.787	6415	299278
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Brettanomyces|species-Brettanomyces_bruxellensis	species	Brettanomyces bruxellensis	5007	20.6198	1.7191	6602	320177
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycodaceae|genus-Saccharomycodes|species-Saccharomycodes_ludwigii	species	Saccharomycodes ludwigii	36035	22.8448	1.9046	6254	273760
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Wickerhamomyces|species-Wickerhamomyces_ciferrii	species	Wickerhamomyces ciferrii	1041607	18.5271	1.5446	5027	271332
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Clavispora|species-Clavispora_lusitaniae	species	Clavispora lusitaniae	36911	22.0127	1.8352	7049	320224
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Metschnikowia|species-Metschnikowia_bicuspidata	species	Metschnikowia bicuspidata	27322	21.507	1.793	6540	304087
phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Saprochaete|species-Saprochaete_ingens	species	Saprochaete ingens	2606893	22.3837	1.8661	7814	349094
